,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,img_name,img_orig,site,img_index,img_cat,ID,Latitude,Longitude,date,yr,mo,day,time,yr_mo,timeofday,timeofevent,foldnum,innerPhase,o_prob_dry,o_prob_poor_viz,o_prob_snow,o_prob_snow_severe,o_prob_wet,o_pred,tracker,o_prob,classifier_TF,classifier_01,o_prob_calib,calib_prob_dry,calib_prob_poor_viz,calib_prob_snow,calib_prob_snow_severe,calib_prob_wet,calib_pred,calib_prob
0,0,0,0,0,0,I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-24-14:00:12.jpg,/home/csutter/DRIVE/site_analysis/group_labeling_largebatch/R2B1_0818/images/Skyline_5630/wet/I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-24-14:00:12.jpg,Skyline_5630,1,wet,Skyline_5630,42.969187,-78.771281,1/24/22,2022,1,24,14:00:12,202201,day,"dawn:12:06:29.361832, sunrise:12:37:47.866183, sunset:22:17:04.582810, dusk:22:48:23.711592",4,innerTest,0.055032838,0.00065026176,0.0070692054,0.0018899719,0.93535775,wet,tracker_m0,0.93535775,True,1,0.8956228956228957,0.08886085913654657,0.0010499698136091555,0.01141456061663973,0.0030517148103089155,0.8956228956228957,wet,0.8956228956228957
1,1,1,1,1,1,I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-24-15:00:14.jpg,/home/csutter/DRIVE/site_analysis/group_labeling_largebatch/R2B1_0818/images/Skyline_5630/wet/I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-24-15:00:14.jpg,Skyline_5630,2,wet,Skyline_5630,42.969187,-78.771281,1/24/22,2022,1,24,15:00:14,202201,day,"dawn:12:06:29.361832, sunrise:12:37:47.866183, sunset:22:17:04.582810, dusk:22:48:23.711592",4,innerTest,0.046081416,0.0006963791,0.018138861,0.0020782854,0.93300503,wet,tracker_m0,0.93300503,True,1,0.8956228956228957,0.07179414833397185,0.0010849480927859903,0.028260070767862185,0.0032379371824843234,0.8956228956228957,wet,0.8956228956228957
2,2,2,2,2,2,I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-24-16:00:17.jpg,/home/csutter/DRIVE/site_analysis/group_labeling_largebatch/R2B1_0818/images/Skyline_5630/wet/I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-24-16:00:17.jpg,Skyline_5630,3,wet,Skyline_5630,42.969187,-78.771281,1/24/22,2022,1,24,16:00:17,202201,day,"dawn:12:06:29.361832, sunrise:12:37:47.866183, sunset:22:17:04.582810, dusk:22:48:23.711592",4,innerTest,0.05494702,0.0005660152,0.025802033,0.0017485821,0.9169364,wet,tracker_m0,0.9169364,True,1,0.8789473684210526,0.0800769210647254,0.0008248810307062105,0.03760253713214001,0.0025482923513757763,0.8789473684210526,wet,0.8789473684210526
3,3,3,3,3,3,I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-24-17:00:18.jpg,/home/csutter/DRIVE/site_analysis/group_labeling_largebatch/R2B1_0818/images/Skyline_5630/wet/I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-24-17:00:18.jpg,Skyline_5630,4,wet,Skyline_5630,42.969187,-78.771281,1/24/22,2022,1,24,17:00:18,202201,day,"dawn:12:06:29.361832, sunrise:12:37:47.866183, sunset:22:17:04.582810, dusk:22:48:23.711592",4,innerTest,0.065468915,0.00022658915,0.024053628,0.0005997911,0.9096511,wet,tracker_m0,0.9096511,True,1,0.8789473684210526,0.08771753068311663,0.000303592028638115,0.032227887878243794,0.0008036209889488818,0.8789473684210526,wet,0.8789473684210526
4,4,4,4,4,4,I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-24-18:00:12.jpg,/home/csutter/DRIVE/site_analysis/group_labeling_largebatch/R2B1_0818/images/Skyline_5630/wet/I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-24-18:00:12.jpg,Skyline_5630,5,wet,Skyline_5630,42.969187,-78.771281,1/24/22,2022,1,24,18:00:12,202201,day,"dawn:12:06:29.361832, sunrise:12:37:47.866183, sunset:22:17:04.582810, dusk:22:48:23.711592",4,innerTest,0.07790014,0.0003095443,0.020997848,0.0008099637,0.89998245,wet,tracker_m0,0.89998245,True,1,0.8314606741573034,0.13126940389161196,0.0005216126150613631,0.03538344077387635,0.0013648685621469282,0.8314606741573034,wet,0.8314606741573034
5,5,5,5,5,5,I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-24-20:00:11.jpg,/home/csutter/DRIVE/site_analysis/group_labeling_largebatch/R2B1_0818/images/Skyline_5630/snow/I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-24-20:00:11.jpg,Skyline_5630,6,snow,Skyline_5630,42.969187,-78.771281,1/24/22,2022,1,24,20:00:11,202201,day,"dawn:12:06:29.361832, sunrise:12:37:47.866183, sunset:22:17:04.582810, dusk:22:48:23.711592",4,innerTest,0.025035517,0.00067024044,0.015290396,0.0016998955,0.957304,wet,tracker_m0,0.957304,False,0,0.8956228956228957,0.06120319879518505,0.0016385065620930575,0.03737974119108874,0.004155657828737489,0.8956228956228957,wet,0.8956228956228957
6,6,6,6,6,6,I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-24-21:00:25.jpg,/home/csutter/DRIVE/site_analysis/group_labeling_largebatch/R2B1_0818/images/Skyline_5630/snow/I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-24-21:00:25.jpg,Skyline_5630,7,snow,Skyline_5630,42.969187,-78.771281,1/24/22,2022,1,24,21:00:25,202201,day,"dawn:12:06:29.361832, sunrise:12:37:47.866183, sunset:22:17:04.582810, dusk:22:48:23.711592",4,innerTest,0.0036962144,0.00028210852,0.9792686,0.0051505226,0.0116025265,snow,tracker_m0,0.9792686,True,1,0.8956228956228957,0.018609484980384627,0.001420343545487658,0.8956228956228957,0.02593155120163797,0.05841572464959409,snow,0.8956228956228957
7,7,7,7,7,7,I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-27-01:00:16.jpg,/home/csutter/DRIVE/site_analysis/group_labeling_largebatch/R2B1_0818/images/Skyline_5630/snow/I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-27-01:00:16.jpg,Skyline_5630,8,snow,Skyline_5630,42.969187,-78.771281,1/27/22,2022,1,27,1:00:16,202201,night,"dawn:12:04:08.342356, sunrise:12:35:12.270144, sunset:22:21:00.439849, dusk:22:52:05.095668",4,innerTest,0.04222193,0.056558132,0.24881221,0.004623476,0.6477843,wet,tracker_m0,0.6477843,False,0,0.5627705627705628,0.052412962218375,0.070209467820582,0.30886757100398743,0.0057394361864927445,0.5627705627705628,wet,0.5627705627705628
8,8,8,8,8,8,I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-27-02:00:20.jpg,/home/csutter/DRIVE/site_analysis/group_labeling_largebatch/R2B1_0818/images/Skyline_5630/snow/I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-27-02:00:20.jpg,Skyline_5630,9,snow,Skyline_5630,42.969187,-78.771281,1/27/22,2022,1,27,2:00:20,202201,night,"dawn:12:04:08.342356, sunrise:12:35:12.270144, sunset:22:21:00.439849, dusk:22:52:05.095668",4,innerTest,0.060143933,0.011350324,0.3105182,0.0052701198,0.6127174,wet,tracker_m0,0.6127174,False,0,0.5036231884057971,0.07708597155583519,0.01454761452021293,0.39798855742887895,0.006754668089275836,0.5036231884057971,wet,0.5036231884057971
9,9,9,9,9,9,I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-27-03:00:10.jpg,/home/csutter/DRIVE/site_analysis/group_labeling_largebatch/R2B1_0818/images/Skyline_5630/snow/I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-27-03:00:10.jpg,Skyline_5630,10,snow,Skyline_5630,42.969187,-78.771281,1/27/22,2022,1,27,3:00:10,202201,night,"dawn:12:04:08.342356, sunrise:12:35:12.270144, sunset:22:21:00.439849, dusk:22:52:05.095668",4,innerTest,0.07469683,0.048650764,0.47317088,0.024429318,0.3790522,snow,tracker_m0,0.47317088,True,1,0.41509433962264153,0.08293125357743192,0.054013923295269634,0.41509433962264153,0.02712235533665514,0.42083812816800176,wet,0.42083812816800176
10,10,10,10,10,10,I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-27-05:00:06.jpg,/home/csutter/DRIVE/site_analysis/group_labeling_largebatch/R2B1_0818/images/Skyline_5630/snow/I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-27-05:00:06.jpg,Skyline_5630,12,snow,Skyline_5630,42.969187,-78.771281,1/27/22,2022,1,27,5:00:06,202201,night,"dawn:12:04:08.342356, sunrise:12:35:12.270144, sunset:22:21:00.439849, dusk:22:52:05.095668",4,innerTest,0.14241251,0.0018101725,0.29815364,0.0025284942,0.55509526,wet,tracker_m0,0.55509526,False,0,0.4923076923076924,0.16251057109796813,0.002065634309519836,0.34023077264306345,0.002885329641756192,0.4923076923076924,wet,0.4923076923076924
11,11,11,11,11,11,I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-27-11:00:08.jpg,/home/csutter/DRIVE/site_analysis/group_labeling_largebatch/R2B1_0818/images/Skyline_5630/snow/I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-27-11:00:08.jpg,Skyline_5630,18,snow,Skyline_5630,42.969187,-78.771281,1/27/22,2022,1,27,11:00:08,202201,night,"dawn:12:04:08.342356, sunrise:12:35:12.270144, sunset:22:21:00.439849, dusk:22:52:05.095668",4,innerTest,0.14973548,0.13701673,0.35586253,0.021001741,0.3363835,snow,tracker_m0,0.35586253,True,1,0.25,0.17434417114803033,0.1595351230400668,0.25,0.02445333014800905,0.39166737566389387,wet,0.39166737566389387
12,12,12,12,12,12,I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-27-12:00:18.jpg,/home/csutter/DRIVE/site_analysis/group_labeling_largebatch/R2B1_0818/images/Skyline_5630/snow/I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-01-27-12:00:18.jpg,Skyline_5630,19,snow,Skyline_5630,42.969187,-78.771281,1/27/22,2022,1,27,12:00:18,202201,night,"dawn:12:04:08.342356, sunrise:12:35:12.270144, sunset:22:21:00.439849, dusk:22:52:05.095668",4,innerTest,0.037426267,0.007977176,0.32745188,0.0038147238,0.6233299,wet,tracker_m0,0.6233299,False,0,0.5627705627705628,0.04344350127393421,0.009259712055129555,0.38009818521126226,0.004428038689111237,0.5627705627705628,wet,0.5627705627705628
13,13,13,13,13,13,I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-02-03-01:00:07.jpg,/home/csutter/DRIVE/site_analysis/group_labeling_largebatch/R2B1_0818/images/Skyline_5630/wet/I_290_between_Exit_7_(Main_Street)_and_Exit_6_(Sheridan_Drive)__Unknown__Skyline_5630_2022-02-03-01:00:07.jpg,Skyline_5630,20,wet,Skyline_5630,42.969187,-78.771281,2/3/22,2022,2,3,1:00:07,202202,night,"dawn:11:57:32.641139, sunrise:12:28:03.005358, sunset:22:30:19.540315, dusk:23:00:50.912935",4,innerTest,0.09534086,0.33453336,0.011032138,0.0018169001,0.5572768,wet,tracker_m0,0.5572768,True,1,0.4923076923076924,0.10933200446369146,0.3836256858683014,0.012651089585934722,0.002083527774380066,0.4923076923076924,wet,0.4923076923076924
